Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,Time,  AverageTime
0.000000,-3.010300,1.000000,527,100,100,0.164687,1.000000,0.000000,0.000000
1.000000,-2.010300,0.891251,429,100,102,0.131434,0.980392,0.000000,0.000000
2.000000,-1.010300,0.794328,361,100,109,0.103498,0.917431,0.000000,0.000000
3.000000,-0.010300,0.707946,271,100,107,0.079147,0.934579,0.000000,0.000000
4.000000,0.989700,0.630957,215,100,120,0.055990,0.833333,0.000000,0.000000
5.000000,1.989700,0.562341,176,100,132,0.041667,0.757576,0.000000,0.000000
6.000000,2.989700,0.501187,147,100,198,0.023201,0.505050,0.000000,0.000000
7.000000,3.989700,0.446684,120,100,328,0.011433,0.304878,0.000000,0.000000
8.000000,4.989700,0.398107,112,100,513,0.006823,0.194932,0.000000,0.000000
9.000000,5.989700,0.354813,102,100,1391,0.002292,0.071891,0.000000,0.000000
10.000000,6.989700,0.316228,102,100,4930,0.000647,0.020284,0.000000,0.000000
11.000000,7.989700,0.281838,100,100,15742,0.000199,0.006352,0.000000,0.000000
