Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,Time,  AverageTime
0.000000,0.000000,0.707107,274,100,107,0.080023,0.934579,0.000000,0.000000
1.000000,1.000000,0.630210,210,100,117,0.056090,0.854701,0.000000,0.000000
2.000000,2.000000,0.561675,168,100,146,0.035959,0.684932,0.000000,0.000000
3.000000,3.000000,0.500593,144,100,204,0.022059,0.490196,0.000000,0.000000
4.000000,4.000000,0.446154,117,100,329,0.011113,0.303951,0.000000,0.000000
5.000000,5.000000,0.397635,106,100,626,0.005292,0.159744,0.000000,0.000000
6.000000,6.000000,0.354393,100,100,1167,0.002678,0.085690,0.000000,0.000000
7.000000,7.000000,0.315853,100,100,4448,0.000703,0.022482,0.000000,0.000000
8.000000,8.000000,0.281504,100,100,17676,0.000177,0.005657,0.000000,0.000000
9.000000,9.000000,0.250891,100,100,103903,0.000030,0.000962,1.000000,0.000010
10.000000,10.000000,0.223607,100,100,776959,0.000004,0.000129,5.000000,0.000006
11.000000,11.000000,0.199290,100,100,13516955,0.000000,0.000007,77.000000,0.000006
