Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,Time,  AverageTime
0.000000,-6.020600,1.414214,473,100,101,0.146349,0.990099,0.000000,0.000000
1.000000,-5.020600,1.260419,374,100,102,0.114583,0.980392,0.000000,0.000000
2.000000,-4.020600,1.123350,303,100,103,0.091930,0.970874,0.000000,0.000000
3.000000,-3.020600,1.001187,255,100,115,0.069293,0.869565,0.000000,0.000000
4.000000,-2.020600,0.892308,210,100,137,0.047901,0.729927,0.000000,0.000000
5.000000,-1.020600,0.795271,152,100,146,0.032534,0.684932,0.000000,0.000000
6.000000,-0.020600,0.708786,136,100,236,0.018008,0.423729,0.000000,0.000000
7.000000,0.979400,0.631706,118,100,459,0.008034,0.217865,0.000000,0.000000
8.000000,1.979400,0.563009,107,100,724,0.004618,0.138122,0.000000,0.000000
9.000000,2.979400,0.501782,100,100,1855,0.001685,0.053908,0.000000,0.000000
10.000000,3.979400,0.447214,100,100,6838,0.000457,0.014624,0.000000,0.000000
11.000000,4.979400,0.398580,100,100,23106,0.000135,0.004328,1.000000,0.000043
12.000000,5.979400,0.355234,100,100,165504,0.000019,0.000604,3.000000,0.000018
13.000000,6.979400,0.316603,100,100,1653958,0.000002,0.000060,32.000000,0.000019
14.000000,7.979400,0.282173,100,100,26991991,0.000000,0.000004,565.000000,0.000021
